# SHA256 of exact mutmut show output	mutant	review rationale
2951fc2279a7cbeb74c4585fa19cabbf1ba40719e30a363a2045120baa47269e	reservations.application.reservations.x_reserve_batch__mutmut_22	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
e21e8a32b9455bcbe209fc7539c305c1ec44ecbb3dd18a4baa0d6471ed70c04f	reservations.application.reservations.x_reserve_batch__mutmut_23	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
8932d5d5a4da268f6f89d3c5dc5210b2f7476734020f4b72b6b633e9c301302b	reservations.infrastructure.wire.x_parse_reservations__mutmut_21	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
aa62013434d6a641a01df8be5b9a8140dc6e3aeee64c7fd87edff40d278b4ada	reservations.infrastructure.wire.x_parse_reservations__mutmut_22	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
eb97f6547771b432758182921ce6d612aa966cebeb2aeca6bf501393434c5516	reservations.infrastructure.wire.x_parse_reservations__mutmut_24	Equivalent on accepted inputs: the wire grammar already rejects zero and negative quantities.
1e9f616b78abe85cdc4ee19ce03ad66ca5b2e23463ee56c55324a00a2f669952	reservations.infrastructure.wire.x_parse_reservations__mutmut_26	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
1e619187bf0dc728fac32d442a9fd568362df5d1948765f7a27eddfcebbea500	reservations.infrastructure.wire.x_parse_reservations__mutmut_27	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
96512a427e4cfffa339f5acdc73333f266c9b4dd335735f3f26b21ac3d35d13a	reservations.infrastructure.wire.x_parse_reservations__mutmut_30	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
b37a44a16afc4be7387ffa3794fb0429a684d86ceb855b17b84b9f08ecea8695	reservations.infrastructure.wire.x_parse_reservations__mutmut_31	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
640249b5dad7b222518b2ade26823040688f0dd10d71fa972ddad12f01a19627	reservations.domain.stock.x_reserve__mutmut_18	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
a6ba90ab443812057b95ffd4f687afaba64d5f5090e003762c462b8eb1664730	reservations.domain.stock.x_reserve__mutmut_19	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
15cdc066a5ce91b9f2a01f0322ba4dcce8f3ae3580e007ac71c1044c1e47880f	reservations.domain.stock.x_reserve__mutmut_22	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
c4c590d4ac1943d69cccfed98cd6004d0c5a203c5f0303f42452675d45b046f5	reservations.domain.stock.x_reserve__mutmut_23	Only changes an internal postcondition failure message; the unchanged correct computation cannot reach that failure.
